,sentence,category,sentiment
856,"Great service, reasonable prices, fast delivery and fitting date,,,",delivery punctuality,positive
857,Great price - excellent service,value for money,positive
858,"Great value, really easy to arrange and very happy.",value for money,positive
859,"Great value, really easy to arrange and very happy.",ease of booking,positive
860,"Fantastic, easy, painless service. And amazing value for money!",value for money,positive
861,Really excellent customer service when fitting a tyre recently. Fitters very professional and friendly. Well done!,garage service,positive
862,Really excellent customer service when fitting a tyre recently. Fitters very professional and friendly. Well done!,advisoragent service,positive
863,Really excellent customer service when fitting a tyre recently. Fitters very professional and friendly. Well done!,value for money,positive
864,Good service and customer care.,advisoragent service,positive
865,Excellent service and support afterwards. Highly Recommended,advisoragent service,positive
866,Very helpful when I need to change my order... additional tyres and a change of date... but I would have preferred to have made the changes online rather than by phone (I was on hold for a looong time).,advisor/agent service,positive
867,Very helpful when I need to change my order... additional tyres and a change of date... but I would have preferred to have made the changes online rather than by phone (I was on hold for a looong time).,advisoragent service,positive
868,Very helpful when I need to change my order... additional tyres and a change of date... but I would have preferred to have made the changes online rather than by phone (I was on hold for a looong time).,call wait time,negative
869,"Apart from not being able to deliver for the day I requested, they had them there for the next day and contacted to tell me and apologise for the inconvenience. Other than this everything was OK!",advisor/agent service,positive
870,"Apart from not being able to deliver for the day I requested, they had them there for the next day and contacted to tell me and apologise for the inconvenience. Other than this everything was OK!",delivery punctuality,negative
871,"Apart from not being able to deliver for the day I requested, they had them there for the next day and contacted to tell me and apologise for the inconvenience. Other than this everything was OK!",advisoragent service,negative
872,Very poor customer service,advisor/agent service,negative
873,Very poor customer service,advisoragent service,negative
874,"I am a happy customer yet again with [REDACTED]. I'm able to get the exact quality tyres I want and know, fitted at the place I trust. Would be five stars except the website still lists the wrong tyre size for my SEAT so have to know this and manually select the right size. Last time around this was only noticed by the fitter immediately the tyres arrived, to their credit, and [REDACTED] were excellent correcting that order... but not yet their fitment database.",advisoragent service,positive
875,"I am a happy customer yet again with [REDACTED]. I'm able to get the exact quality tyres I want and know, fitted at the place I trust. Would be five stars except the website still lists the wrong tyre size for my SEAT so have to know this and manually select the right size. Last time around this was only noticed by the fitter immediately the tyres arrived, to their credit, and [REDACTED] were excellent correcting that order... but not yet their fitment database.",tyre quality,positive
876,"I am a happy customer yet again with [REDACTED]. I'm able to get the exact quality tyres I want and know, fitted at the place I trust. Would be five stars except the website still lists the wrong tyre size for my SEAT so have to know this and manually select the right size. Last time around this was only noticed by the fitter immediately the tyres arrived, to their credit, and [REDACTED] were excellent correcting that order... but not yet their fitment database.",garage service,positive
877,Good customer service. I was informed about minor détails that I was not aware of.,advisoragent service,positive
878,Fantastic customer service,advisoragent service,positive
879,"Excellent Customer service, friendly staff, gets everything sorted.",advisor/agent service,positive
880,"Excellent Customer service, friendly staff, gets everything sorted.",advisoragent service,positive
881,"You were very easy to book on line, your customer service team were very friendly and helpful when I had a problem and they sorted this out straight away.",advisor/agent service,positive
882,"You were very easy to book on line, your customer service team were very friendly and helpful when I had a problem and they sorted this out straight away.",ease of booking,positive
883,"You were very easy to book on line, your customer service team were very friendly and helpful when I had a problem and they sorted this out straight away.",advisoragent service,positive
884,"All staff I encountered (both phone and I person) very friendly, patient and helpful... I choose the wrong tyres for my car which I feel could have been picked up on before I ordered and saved myself (and fitters) the hassle and expense of re-booking... service very good, but something at order point ONLINE to emphasise selecting correct tyres would be very useful and save a lot of time wasting and embarrassment... Not everyone is a tyre expert and need more guidance.",value for money,positive
885,"All staff I encountered (both phone and I person) very friendly, patient and helpful... I choose the wrong tyres for my car which I feel could have been picked up on before I ordered and saved myself (and fitters) the hassle and expense of re-booking... service very good, but something at order point ONLINE to emphasise selecting correct tyres would be very useful and save a lot of time wasting and embarrassment... Not everyone is a tyre expert and need more guidance.",incorrect tyres sent,positive
886,"All staff I encountered (both phone and I person) very friendly, patient and helpful... I choose the wrong tyres for my car which I feel could have been picked up on before I ordered and saved myself (and fitters) the hassle and expense of re-booking... service very good, but something at order point ONLINE to emphasise selecting correct tyres would be very useful and save a lot of time wasting and embarrassment... Not everyone is a tyre expert and need more guidance.",garage service,positive
887,"All staff I encountered (both phone and I person) very friendly, patient and helpful... I choose the wrong tyres for my car which I feel could have been picked up on before I ordered and saved myself (and fitters) the hassle and expense of re-booking... service very good, but something at order point ONLINE to emphasise selecting correct tyres would be very useful and save a lot of time wasting and embarrassment... Not everyone is a tyre expert and need more guidance.",ease of booking,positive
888,"All staff I encountered (both phone and I person) very friendly, patient and helpful... I choose the wrong tyres for my car which I feel could have been picked up on before I ordered and saved myself (and fitters) the hassle and expense of re-booking... service very good, but something at order point ONLINE to emphasise selecting correct tyres would be very useful and save a lot of time wasting and embarrassment... Not everyone is a tyre expert and need more guidance.",advisoragent service,positive
889,5 Star for [REDACTED]. From start to finish everything went perfectly and was effortless.Put Reg in.Picked tyres i wanted.Picked fitting centergot confirmation email and reciepton day got reminder.went to fitting center 40mins early expecting to wait at least 30minsHIQ just fitted them there and then in 20mins and did a great jobWill get all my tyres from here from now on and use same fitting center,wait time,positive
890,5 Star for [REDACTED]. From start to finish everything went perfectly and was effortless.Put Reg in.Picked tyres i wanted.Picked fitting centergot confirmation email and reciepton day got reminder.went to fitting center 40mins early expecting to wait at least 30minsHIQ just fitted them there and then in 20mins and did a great jobWill get all my tyres from here from now on and use same fitting center,length of fitting,positive
891,5 Star for [REDACTED]. From start to finish everything went perfectly and was effortless.Put Reg in.Picked tyres i wanted.Picked fitting centergot confirmation email and reciepton day got reminder.went to fitting center 40mins early expecting to wait at least 30minsHIQ just fitted them there and then in 20mins and did a great jobWill get all my tyres from here from now on and use same fitting center,garage service,positive
892,"Good choice of tyres available at a good price. Easy to use website. Good choice of local garages and the one I chose, ATS Euromaster, was quick and efficient. Will use again.",value for money,positive
893,"Good choice of tyres available at a good price. Easy to use website. Good choice of local garages and the one I chose, ATS Euromaster, was quick and efficient. Will use again.",garage service,positive
894,"Good choice of tyres available at a good price. Easy to use website. Good choice of local garages and the one I chose, ATS Euromaster, was quick and efficient. Will use again.",location,positive
895,"Good choice of tyres available at a good price. Easy to use website. Good choice of local garages and the one I chose, ATS Euromaster, was quick and efficient. Will use again.",length of fitting,positive
896,Buying tyres with [REDACTED] was so easy simple steps to find your tyre simple steps to pick your garage and time slot every thing was so so easy will definetly use again and the price was superb,ease of booking,positive
897,Buying tyres with [REDACTED] was so easy simple steps to find your tyre simple steps to pick your garage and time slot every thing was so so easy will definetly use again and the price was superb,value for money,positive
898,"Great price, fast delivery, loved the inclusive fitting.",delivery punctuality,positive
899,"Great price, fast delivery, loved the inclusive fitting.",value for money,positive
900,"Great price, fast delivery, loved the inclusive fitting.",extra charges,positive
901,Good price and easy local arrangement for fitting,location,positive
902,Good price and easy local arrangement for fitting,value for money,positive
903,Good price and easy local arrangement for fitting,ease of booking,positive
904,"Great service, great prices & great fitter!",value for money,positive
905,"Great service, great prices & great fitter!",garage service,positive
906,Bad experience this time. Garage didnt balance wheels properly. Took car back and they rebalanced- car was even worse. I drove 500 miles to Scotland with a wobbly steering wheel. A [REDACTED] dealer in Scotland has hopefully sorted it today. I complained and to date no one at [REDACTED] has resolved my complaint after a chase up email sent yesterday. Poor service. However this is the first time I’ve had an issue like this hence I’ve awarded a 5 not a 0 which frankly is all you deserve on this showing !!,advisoragent service,negative
907,Bad experience this time. Garage didnt balance wheels properly. Took car back and they rebalanced- car was even worse. I drove 500 miles to Scotland with a wobbly steering wheel. A [REDACTED] dealer in Scotland has hopefully sorted it today. I complained and to date no one at [REDACTED] has resolved my complaint after a chase up email sent yesterday. Poor service. However this is the first time I’ve had an issue like this hence I’ve awarded a 5 not a 0 which frankly is all you deserve on this showing !!,response time,negative
908,Bad experience this time. Garage didnt balance wheels properly. Took car back and they rebalanced- car was even worse. I drove 500 miles to Scotland with a wobbly steering wheel. A [REDACTED] dealer in Scotland has hopefully sorted it today. I complained and to date no one at [REDACTED] has resolved my complaint after a chase up email sent yesterday. Poor service. However this is the first time I’ve had an issue like this hence I’ve awarded a 5 not a 0 which frankly is all you deserve on this showing !!,balancing,negative
909,Bad experience this time. Garage didnt balance wheels properly. Took car back and they rebalanced- car was even worse. I drove 500 miles to Scotland with a wobbly steering wheel. A [REDACTED] dealer in Scotland has hopefully sorted it today. I complained and to date no one at [REDACTED] has resolved my complaint after a chase up email sent yesterday. Poor service. However this is the first time I’ve had an issue like this hence I’ve awarded a 5 not a 0 which frankly is all you deserve on this showing !!,garage service,negative
910,"Alignment problems. [REDACTED] delivery to installation partner was fine, so far as I know, but two weeks later I am still waiting for their repair of alignment machinery so that alignment can be carried out at the time of tyre fitment, which I view as basic. [REDACTED] should monitor these capabilities more closely and help fitment partners to resolve them.",garage service,negative
911,The layout of the website allowed me to choose which tyres I wanted easily. Also what appeared to be good value,value for money,positive
912,This must be the 4th time I have used [REDACTED] and every time they have been great.Tyres arrived and fitted at the date and time I selected,delivery punctuality,positive
913,This must be the 4th time I have used [REDACTED] and every time they have been great.Tyres arrived and fitted at the date and time I selected,wait time,positive
914,Excellent Tyres Big Discounts. • Easy navigation of website • Great discounts on well known tyres• A wide range of tyres and sizes to match any vehicle • A choice to have them delivered to you or a garage fitted or not fitted• Quick response of date and time when booking into a local garage • Easy payment method,location,positive
915,Excellent Tyres Big Discounts. • Easy navigation of website • Great discounts on well known tyres• A wide range of tyres and sizes to match any vehicle • A choice to have them delivered to you or a garage fitted or not fitted• Quick response of date and time when booking into a local garage • Easy payment method,discounts,positive
916,Excellent Tyres Big Discounts. • Easy navigation of website • Great discounts on well known tyres• A wide range of tyres and sizes to match any vehicle • A choice to have them delivered to you or a garage fitted or not fitted• Quick response of date and time when booking into a local garage • Easy payment method,tyre quality,positive
917,Excellent Tyres Big Discounts. • Easy navigation of website • Great discounts on well known tyres• A wide range of tyres and sizes to match any vehicle • A choice to have them delivered to you or a garage fitted or not fitted• Quick response of date and time when booking into a local garage • Easy payment method,response time,positive
918,Excellent Tyres Big Discounts. • Easy navigation of website • Great discounts on well known tyres• A wide range of tyres and sizes to match any vehicle • A choice to have them delivered to you or a garage fitted or not fitted• Quick response of date and time when booking into a local garage • Easy payment method,ease of booking,positive
919,My wheel was damaged by the fitter and you won't take responsibility for it after saying you would,advisoragent service,negative
920,My wheel was damaged by the fitter and you won't take responsibility for it after saying you would,damage,negative
921,My wheel was damaged by the fitter and you won't take responsibility for it after saying you would,garage service,negative
922,"Initial appointment delayed due to courier losing one of my tyres, rescheduled appointment was not suitable for me as I required my car for that time to travel over 100 miles, which I explained in my email, I was emailed back saying it was the earliest appointment I could get. This resulted in me then phoning during my working hours, to be told I could get my appointment changed to the following day after my initial one, which was more suitable. I was also told the missing tyre would be tracked to make sure it was delivered the following day. Lunchtime the following day my appointment was changed again but to the day after I required my car for! This again resulted in me having to make another phone call and to be told my second tyre was not yet delivered but should be at the site that afternoon. I managed to get the third appointment which was confirmed the day before back, explaining that I needed at least one of the tyres changed. I dropped off my car the following morning at around 7.45 am to be told the second tyre had not yet arrived. My appointment was not until 2.00 pm, but one of the reasons I dropped it off earlier was to ensure the message about needing at least one of them to be done had been relayed appropriately from your company. I was told this was done however was struggling to believe that after being told 2 days before that my tyre would be tracked to ensure it was delivered in the following day. The overall experience was quite stressful. I have used this site before in 2018 and had no issues on that occasion. If this had been my first time using the site I would not be recommending the site at all!",advisoragent service,negative
923,"Initial appointment delayed due to courier losing one of my tyres, rescheduled appointment was not suitable for me as I required my car for that time to travel over 100 miles, which I explained in my email, I was emailed back saying it was the earliest appointment I could get. This resulted in me then phoning during my working hours, to be told I could get my appointment changed to the following day after my initial one, which was more suitable. I was also told the missing tyre would be tracked to make sure it was delivered the following day. Lunchtime the following day my appointment was changed again but to the day after I required my car for! This again resulted in me having to make another phone call and to be told my second tyre was not yet delivered but should be at the site that afternoon. I managed to get the third appointment which was confirmed the day before back, explaining that I needed at least one of the tyres changed. I dropped off my car the following morning at around 7.45 am to be told the second tyre had not yet arrived. My appointment was not until 2.00 pm, but one of the reasons I dropped it off earlier was to ensure the message about needing at least one of them to be done had been relayed appropriately from your company. I was told this was done however was struggling to believe that after being told 2 days before that my tyre would be tracked to ensure it was delivered in the following day. The overall experience was quite stressful. I have used this site before in 2018 and had no issues on that occasion. If this had been my first time using the site I would not be recommending the site at all!",delivery punctuality,negative
924,"Initial appointment delayed due to courier losing one of my tyres, rescheduled appointment was not suitable for me as I required my car for that time to travel over 100 miles, which I explained in my email, I was emailed back saying it was the earliest appointment I could get. This resulted in me then phoning during my working hours, to be told I could get my appointment changed to the following day after my initial one, which was more suitable. I was also told the missing tyre would be tracked to make sure it was delivered the following day. Lunchtime the following day my appointment was changed again but to the day after I required my car for! This again resulted in me having to make another phone call and to be told my second tyre was not yet delivered but should be at the site that afternoon. I managed to get the third appointment which was confirmed the day before back, explaining that I needed at least one of the tyres changed. I dropped off my car the following morning at around 7.45 am to be told the second tyre had not yet arrived. My appointment was not until 2.00 pm, but one of the reasons I dropped it off earlier was to ensure the message about needing at least one of them to be done had been relayed appropriately from your company. I was told this was done however was struggling to believe that after being told 2 days before that my tyre would be tracked to ensure it was delivered in the following day. The overall experience was quite stressful. I have used this site before in 2018 and had no issues on that occasion. If this had been my first time using the site I would not be recommending the site at all!",change of date,negative
925,"Initial appointment delayed due to courier losing one of my tyres, rescheduled appointment was not suitable for me as I required my car for that time to travel over 100 miles, which I explained in my email, I was emailed back saying it was the earliest appointment I could get. This resulted in me then phoning during my working hours, to be told I could get my appointment changed to the following day after my initial one, which was more suitable. I was also told the missing tyre would be tracked to make sure it was delivered the following day. Lunchtime the following day my appointment was changed again but to the day after I required my car for! This again resulted in me having to make another phone call and to be told my second tyre was not yet delivered but should be at the site that afternoon. I managed to get the third appointment which was confirmed the day before back, explaining that I needed at least one of the tyres changed. I dropped off my car the following morning at around 7.45 am to be told the second tyre had not yet arrived. My appointment was not until 2.00 pm, but one of the reasons I dropped it off earlier was to ensure the message about needing at least one of them to be done had been relayed appropriately from your company. I was told this was done however was struggling to believe that after being told 2 days before that my tyre would be tracked to ensure it was delivered in the following day. The overall experience was quite stressful. I have used this site before in 2018 and had no issues on that occasion. If this had been my first time using the site I would not be recommending the site at all!",ease of booking,negative
926,"Initial appointment delayed due to courier losing one of my tyres, rescheduled appointment was not suitable for me as I required my car for that time to travel over 100 miles, which I explained in my email, I was emailed back saying it was the earliest appointment I could get. This resulted in me then phoning during my working hours, to be told I could get my appointment changed to the following day after my initial one, which was more suitable. I was also told the missing tyre would be tracked to make sure it was delivered the following day. Lunchtime the following day my appointment was changed again but to the day after I required my car for! This again resulted in me having to make another phone call and to be told my second tyre was not yet delivered but should be at the site that afternoon. I managed to get the third appointment which was confirmed the day before back, explaining that I needed at least one of the tyres changed. I dropped off my car the following morning at around 7.45 am to be told the second tyre had not yet arrived. My appointment was not until 2.00 pm, but one of the reasons I dropped it off earlier was to ensure the message about needing at least one of them to be done had been relayed appropriately from your company. I was told this was done however was struggling to believe that after being told 2 days before that my tyre would be tracked to ensure it was delivered in the following day. The overall experience was quite stressful. I have used this site before in 2018 and had no issues on that occasion. If this had been my first time using the site I would not be recommending the site at all!",wait time,negative
927,"The garage ruined the paint on 2 of my alloys, after 5 emails to [REDACTED] customer service still nothing done!.",advisoragent service,negative
928,"The garage ruined the paint on 2 of my alloys, after 5 emails to [REDACTED] customer service still nothing done!.",response time,negative
929,"The garage ruined the paint on 2 of my alloys, after 5 emails to [REDACTED] customer service still nothing done!.",garage service,negative
930,"The garage ruined the paint on 2 of my alloys, after 5 emails to [REDACTED] customer service still nothing done!.",damage,negative
931,Efficient and fast service. Only issue was the tyre pressure sensor was not calibrated and the pressure loss sign came on hr after!! It really should have been done once the new tyre was fitted and before I left the bay.,garage service,negative
932,Efficient and fast service. Only issue was the tyre pressure sensor was not calibrated and the pressure loss sign came on hr after!! It really should have been done once the new tyre was fitted and before I left the bay.,damage,negative
933,"good price. easy to order. finance available and when I went to have the tyres fitted, it was a smooth experience. Really good",garage service,positive
934,"good price. easy to order. finance available and when I went to have the tyres fitted, it was a smooth experience. Really good",value for money,positive
935,"As for the garage it is useless, but [REDACTED] tyres are excellent great product great price.",tyre quality,positive
936,"As for the garage it is useless, but [REDACTED] tyres are excellent great product great price.",value for money,positive
937,"As for the garage it is useless, but [REDACTED] tyres are excellent great product great price.",garage service,negative
938,New tyre flat after 1 day. 3 calls to customer service and 5 days later still can’t get someone organised to come back out to get it resealed.,advisoragent service,negative
939,New tyre flat after 1 day. 3 calls to customer service and 5 days later still can’t get someone organised to come back out to get it resealed.,response time,negative
940,New tyre flat after 1 day. 3 calls to customer service and 5 days later still can’t get someone organised to come back out to get it resealed.,tyre quality,negative
941,Two front tyres fitted by Taylor’s.I very professional and friendly company,garage service,positive
942,Great prices & simple applications.,value for money,positive
943,"The whole process of ordering,paying fortyres and getting them fitted locally was very easy and efficient.",location,positive
944,"The whole process of ordering,paying fortyres and getting them fitted locally was very easy and efficient.",value for money,positive
945,Efficient and easy to book. The fitting took no time at all and the employee was very friendly!,length of fitting,positive
946,Efficient and easy to book. The fitting took no time at all and the employee was very friendly!,ease of booking,positive
947,Efficient and easy to book. The fitting took no time at all and the employee was very friendly!,garage service,positive
948,"Good service, helpful staff and easy to arrange.",ease of booking,positive
949,good service and prices fair,value for money,positive
950,Very competitive prices and a garage of your choice near by and time to help,location,positive
951,Very competitive prices and a garage of your choice near by and time to help,value for money,positive
952,Good accurate service and tyres seem good so far,tyre quality,positive
953,Very happy with the price I was quoted Happy with ATS Treforest for their good service,value for money,positive
954,Very happy with the price I was quoted Happy with ATS Treforest for their good service,garage service,positive
955,Great service and great prices,value for money,positive
956,Great service great price and just very good company,value for money,positive
957,Always had good service and the best prices.,value for money,positive
958,Broad choice of tyres in the size required at a competitive price in each price band. Good communication re: purchase and fitting arrangements. Choice of local tyre fitters.,value for money,positive
959,Broad choice of tyres in the size required at a competitive price in each price band. Good communication re: purchase and fitting arrangements. Choice of local tyre fitters.,location,positive
960,Easy to order you can use a garage of choice. Absolutely hassle free and competitive prices!,value for money,positive
961,Good prices. Excellent choice of tyres and convenient local fitting.,value for money,positive
962,Good prices. Excellent choice of tyres and convenient local fitting.,location,positive
963,excellent price and service,value for money,positive
964,excellent price and service,value for money,positive
965,I found the tyres I wanted at the right price to be fitted by my favourite tyre fitters even. When there was a problem in delivery they let me now well in advance with an alternative booking slot asap after the delivery to the fitters.,delivery punctuality,negative
966,I found the tyres I wanted at the right price to be fitted by my favourite tyre fitters even. When there was a problem in delivery they let me now well in advance with an alternative booking slot asap after the delivery to the fitters.,garage service,positive
967,I found the tyres I wanted at the right price to be fitted by my favourite tyre fitters even. When there was a problem in delivery they let me now well in advance with an alternative booking slot asap after the delivery to the fitters.,response time,positive
968,I found the tyres I wanted at the right price to be fitted by my favourite tyre fitters even. When there was a problem in delivery they let me now well in advance with an alternative booking slot asap after the delivery to the fitters.,value for money,positive
969,"Booked time slots not available. Have been using [REDACTED] for nearly ten years now, during the past year I have booked a few fittings with my local centres only to be told that my appointment time selected from the available time slots on the website were no longer available. Email apologies have been made along the lines of “we are working hard to make sure these problems don’t happen again in the future” A more robust system for communication between [REDACTED] and the fitting centres is clearly needed.",change of date,negative
970,"Booked time slots not available. Have been using [REDACTED] for nearly ten years now, during the past year I have booked a few fittings with my local centres only to be told that my appointment time selected from the available time slots on the website were no longer available. Email apologies have been made along the lines of “we are working hard to make sure these problems don’t happen again in the future” A more robust system for communication between [REDACTED] and the fitting centres is clearly needed.",location,positive
971,"Booked time slots not available. Have been using [REDACTED] for nearly ten years now, during the past year I have booked a few fittings with my local centres only to be told that my appointment time selected from the available time slots on the website were no longer available. Email apologies have been made along the lines of “we are working hard to make sure these problems don’t happen again in the future” A more robust system for communication between [REDACTED] and the fitting centres is clearly needed.",ease of booking,negative
972,Easy to purchase the tyres. Able to choose a day and time and the garage fitted the tyres immediately on my arrival.,ease of booking,positive
973,Easy to purchase the tyres. Able to choose a day and time and the garage fitted the tyres immediately on my arrival.,wait time,positive
974,"Wasted time. Travelled 12 miles to have my tyres fitted, waited in the queue for 45minutes to be told only 1 tyre had been delivered, I had to make another journey to have them fitted,,,not happy!!",location,negative
975,"Wasted time. Travelled 12 miles to have my tyres fitted, waited in the queue for 45minutes to be told only 1 tyre had been delivered, I had to make another journey to have them fitted,,,not happy!!",wait time,negative
976,"Wasted time. Travelled 12 miles to have my tyres fitted, waited in the queue for 45minutes to be told only 1 tyre had been delivered, I had to make another journey to have them fitted,,,not happy!!",incorrect tyres sent,negative
977,Garage fitting didn’t set tyre pressures correctly also didn’t reset pressure monitor on computer,garage service,negative
978,Garage fitting didn’t set tyre pressures correctly also didn’t reset pressure monitor on computer,damage,negative
979,Tyres were good as was price.. but was told there was a problem with my wheels which I am questioning..,value for money,positive
980,Tyres were good as was price.. but was told there was a problem with my wheels which I am questioning..,tyre quality,positive
981,"Fast efficient, value for money and the.staff explained in detail what had been done and we also checked the job afterwards",garage service,positive
982,"Fast efficient, value for money and the.staff explained in detail what had been done and we also checked the job afterwards",value for money,positive
983,"Highly satisfied. Apart from the great price on my tyres they came through when the fitting centre badly damaged my wheels(5 wheels by the way)not only did we get a full refund,they are paying to repair all 5 wheels.very happy with the customer service at [REDACTED].",garage service,negative
984,"Highly satisfied. Apart from the great price on my tyres they came through when the fitting centre badly damaged my wheels(5 wheels by the way)not only did we get a full refund,they are paying to repair all 5 wheels.very happy with the customer service at [REDACTED].",advisoragent service,positive
985,"Highly satisfied. Apart from the great price on my tyres they came through when the fitting centre badly damaged my wheels(5 wheels by the way)not only did we get a full refund,they are paying to repair all 5 wheels.very happy with the customer service at [REDACTED].",refund,positive
986,"Highly satisfied. Apart from the great price on my tyres they came through when the fitting centre badly damaged my wheels(5 wheels by the way)not only did we get a full refund,they are paying to repair all 5 wheels.very happy with the customer service at [REDACTED].",damage,negative
987,"Highly satisfied. Apart from the great price on my tyres they came through when the fitting centre badly damaged my wheels(5 wheels by the way)not only did we get a full refund,they are paying to repair all 5 wheels.very happy with the customer service at [REDACTED].",value for money,positive
988,"3 wheels on my wagon. Had an email the night before my tires should have been fitted, saying they weren't ready. Turns out only 3 of the 4 had been delivered. Simple error, but meant I had to go out of my way. Excellent service from the garage tho. Just a little tip, always contact the garage directly as they are usually more accomodating for times.",late notice,negative
989,"3 wheels on my wagon. Had an email the night before my tires should have been fitted, saying they weren't ready. Turns out only 3 of the 4 had been delivered. Simple error, but meant I had to go out of my way. Excellent service from the garage tho. Just a little tip, always contact the garage directly as they are usually more accomodating for times.",incorrect tyres sent,negative
990,"3 wheels on my wagon. Had an email the night before my tires should have been fitted, saying they weren't ready. Turns out only 3 of the 4 had been delivered. Simple error, but meant I had to go out of my way. Excellent service from the garage tho. Just a little tip, always contact the garage directly as they are usually more accomodating for times.",garage service,positive
991,"Excellent service, completed by two very professional, courteous gentleman. Extremely easy ordering service, great value for the tyres I chose and fitting was outstanding. Super service which I would recommend to anyone.",garage service,positive
992,"Excellent service, completed by two very professional, courteous gentleman. Extremely easy ordering service, great value for the tyres I chose and fitting was outstanding. Super service which I would recommend to anyone.",value for money,positive
993,Friendly staff and on time as per appointment.,garage service,positive
994,Friendly staff and on time as per appointment.,wait time,positive
995,Simple and easy. Quick and easy to find what tyres that were in my price range. I needed four tyres and made an appointment with garage of my choosing. Waited for a comfirmation email about my appointment which wasn’t long. Turned up at the garage and gave the advisor my printed receipt. Felt weird making payment in advance but it was nice and relaxing way to do it.,garage service,positive
996,Simple and easy. Quick and easy to find what tyres that were in my price range. I needed four tyres and made an appointment with garage of my choosing. Waited for a comfirmation email about my appointment which wasn’t long. Turned up at the garage and gave the advisor my printed receipt. Felt weird making payment in advance but it was nice and relaxing way to do it.,value for money,positive
997,Simple and easy. Quick and easy to find what tyres that were in my price range. I needed four tyres and made an appointment with garage of my choosing. Waited for a comfirmation email about my appointment which wasn’t long. Turned up at the garage and gave the advisor my printed receipt. Felt weird making payment in advance but it was nice and relaxing way to do it.,ease of booking,positive
998,Great tyres for the best price. Local fitting was faultless and done in less than an hour. You can even have them fitted at your place.Always use [REDACTED] and would recommend others to do so.,value for money,positive
999,Great tyres for the best price. Local fitting was faultless and done in less than an hour. You can even have them fitted at your place.Always use [REDACTED] and would recommend others to do so.,location,positive
1000,Great tyres for the best price. Local fitting was faultless and done in less than an hour. You can even have them fitted at your place.Always use [REDACTED] and would recommend others to do so.,tyre quality,positive
1001,"MICHELIN RUNFLATS BEST PRICES. VERY GOOD DISCOUNTED PRICES FOR MICHELIN TYRES. USED VERY GOOD LOCAL FITTER, WHICH I HAVE USED BEFORE THROUGH [REDACTED]. NO COMPLAINTS. NO PROBLEM",value for money,positive
1002,"MICHELIN RUNFLATS BEST PRICES. VERY GOOD DISCOUNTED PRICES FOR MICHELIN TYRES. USED VERY GOOD LOCAL FITTER, WHICH I HAVE USED BEFORE THROUGH [REDACTED]. NO COMPLAINTS. NO PROBLEM",garage service,positive
1003,"MICHELIN RUNFLATS BEST PRICES. VERY GOOD DISCOUNTED PRICES FOR MICHELIN TYRES. USED VERY GOOD LOCAL FITTER, WHICH I HAVE USED BEFORE THROUGH [REDACTED]. NO COMPLAINTS. NO PROBLEM",location,positive
1004,"MICHELIN RUNFLATS BEST PRICES. VERY GOOD DISCOUNTED PRICES FOR MICHELIN TYRES. USED VERY GOOD LOCAL FITTER, WHICH I HAVE USED BEFORE THROUGH [REDACTED]. NO COMPLAINTS. NO PROBLEM",discounts,positive
1005,I picked up that the weight on the inside of the wheel was loose and another customer was served and tyre sorted while he was doing mine.,damage,negative
1006,I picked up that the weight on the inside of the wheel was loose and another customer was served and tyre sorted while he was doing mine.,garage service,negative
1007,"Great job. Dropped car off, it was ready in an hour, good job, great price",value for money,positive
1008,"Great job. Dropped car off, it was ready in an hour, good job, great price",length of fitting,positive
1009,"I found using [REDACTED] tyres very easy and considerably cheaper than any other tyre company.Also when I went to get my tyres fitted, I had selected the wrong tyres when I contacted [REDACTED] they returned the tyres and helped me select news correct ones and arranged a fitting date and time, brilliant.",value for money,positive
1010,"I found using [REDACTED] tyres very easy and considerably cheaper than any other tyre company.Also when I went to get my tyres fitted, I had selected the wrong tyres when I contacted [REDACTED] they returned the tyres and helped me select news correct ones and arranged a fitting date and time, brilliant.",advisoragent service,positive
1011,Sent me a tyre for a van and not a car,incorrect tyres sent,negative
1012,"There was a problem with the time of the booking. The garage claimed 9am had been booked, [REDACTED] had said it would be 11",booking confusion,negative
1013,"There was a problem with the time of the booking. The garage claimed 9am had been booked, [REDACTED] had said it would be 11",ease of booking,negative
1014,It is so easy to purchase and get them fitted. You order them in from your home and turn up and they are waiting at the garage to be fitted 😁😁😁,ease of booking,positive
1015,"Easy, cheap",value for money,positive
1016,"reasonably priced ,good choice of fitting garages. speedy delivery.",delivery punctuality,positive
1017,"reasonably priced ,good choice of fitting garages. speedy delivery.",value for money,positive
1018,Reasonable prices,value for money,positive
1019,"Easy booking, appointment changed handled without an issue, all work as organised.",ease of booking,positive
1020,Web site did not pick up my registration for about 2 days. Not a lot of time to book the tyres before holidays and had long drive to airport so had to take images of existing tyres to reference to make booking. Logged on next day and registration was re entered and was recognised. Booking made and tyres changed with 1 day to spare.,ease of booking,negative
1021,Great value for money and the work can be done at a local garage at a convenient time and date.,ease of booking,positive
1022,Great value for money and the work can be done at a local garage at a convenient time and date.,value for money,positive
1023,Great value for money and the work can be done at a local garage at a convenient time and date.,location,positive
1024,Great experience buying my tyres online and having them fitted at my local dealer cheaper than the garage could offer for less the price,location,positive
1025,Great experience buying my tyres online and having them fitted at my local dealer cheaper than the garage could offer for less the price,value for money,positive
1026,"Brilliant service, easy to use website and fantastic price",value for money,positive
1027,great price and great service will definatly use them again,value for money,positive
